FIX_ID,FIX_COMMITS_MERCURIAL,FIX_COMMITS_GIT,BUG_ID,BUG_COMMITS_MERCURIAL,BUG_COMMITS_GIT,NO_FILE_SHARED_FILES,NEW_LINES_ONLY_FIX,REMOVE_LINES_ONLY_BUG,NO_BUG,UNLINKABLE
724457,31aea004045a5572adb1a665fca15f19531b4a42,830f666746d9096b664f9cd7dc00b182011bd57d,610902,e35dfafeee4222dd02fb04c192dcd10eb24cc129,b44beb2f50adea62fb1d4c44b88c1231cd93efae,False,False,False,False,False
992384,98575a5ca794cb67b8d569e8a95188a30532e336,a3329bf3430074eaf2d41dc1b74c95019bb59d6b,1102175,004a0cb8af9fbbe84522d0506a1fdd132d51944c c42855b477b170876a13ae32a60032d06698814c 50b041e06f233fea6a25bfa230d6ebbb1d991175 20bed215cb68ddabed8d12d1dc65b5ea82b902b5 33914610f60fe825ae321a774e32bd9933ff5fc6 c8270944ab912565e4facdaaa08efdf7b23ab4e8 171c70db54de024df49059cb35bb6be68d5829a7 c6daecd1e4f5b14d2a6a353aa9d21f3d14724229 2ac28b335c3cd719c77f5ce0105cf6cb00046839,d5fdf5222cfcf502466759410a076018e3220114 18826ec8886fcf4561d984a9577f248a2391f549 a1313fb9efaf72ccddcac4d700deeb33715b61e9 5fcdf8b6f315eddfc725a5e4677374b49f1156da f72894220eddad3ecccd801f4adf690e4e2538b8 f5ca769962399586f63d2b44b5aa994e4b33dcd6 1efeaaaf05c144d4d8285c35f6450a72f83dd191 705cb8f8ebb6b17c8c33e505b2f6db0b90a94c0d d4622e0c0bcca26e7a00146c0e8a2521984a0dd5,False,False,False,False,False
1046479,d15a1a637b666008ecaa68509ea4b3c48b0b164d,8bd541c1e3cc4d447ac140a3e3bc29c32fc02a68,726781,ff57a7b6f16731ebb71d930421c8d8f4feca45e1,e2f138cb03dd3cabc0e5870d3896790416b5c306,True,False,False,False,True
1221889,e366c310a5eb2204c77288c2450727aacef5d773,ef2909de413dfb64cd4d68ae2c4958bcc09f0e4a,1477205 1205558,f1f82e673a3490bb572c3a1110eeded81badb9a9 d89b9c049fa32a37407c84488ddd6e728f34cd08 13e85dc6b41bf1ce0a6f1d50e290b6159dd79786 c47751b43a71927d2df84074ce2d1114c65e6323 983347f21a23dbfe7ebe8b11b7a23d4f786c81a5 cd555b8702ca3c9efe768a5dba59adbb80e41dd3,ca25e7dbb6892b3ce6cd364277e6d8fe5fc60c95 89463856abbea976c82d0082e1aed8ce6fab833b a225a10471f1bd382750179b97815434e3d61d44 a00a63390efd9427bf00b0db081f355a3f133704 e2fc37007bc5700cf23d7ea53937c8c4777375c4 dfd5bac23014ee60138b142db9d5735cd6bb3e8d,False,False,False,False,False
1224848,606676e2dd214e37cee9bae611072918cbd87df7,eec931567c3e973d10701d0c6b090a4e29a0de3c,786674,f5c7c5cd504a912dd8bd1e5775c5accb97fc7a32,d11f3d18f453b646ae5619440d0a83cee726beae,False,False,False,False,False
1242221,648bcac47c6c96531732742440280d25fbd80279,8a0a23fcb6eba6e5e10d18fc01083c9330f5ddf5,1563821,6aebc76dace8f9a68bc229bfefcdb83af1fd07fb,01ff3d19c2f9ceaf9e8511b0b3a39eb64967b7e5,False,False,False,False,False
1250737,9879ab660a34a9003a3242545fdc1989ee08addd,7e6cbb73bb276dca1076c3a3e3696fcd642e861e,1492695,1fae6818d4e4185f914a8b7b39afc8d906a5e2d4,aa1225c97e5f2252d3b778f5036a18828d6408b0,False,False,False,False,False
1252310,c7feffe40029e833241baa952cec89346d649a06,7d22bda591e9a0a69c5bb324be64be2d1ffda5c6,1278581,41dd7c0d25eb7a0639cab67893f8885d6a178b0d d6b3db9e363b7cb76c19372563b120c5ef65183b f9600623bcc92159ed95c62b06e180e4b3032b1e 02ba9ffbf52f565e90f26b1dd9483da11d58e783 cb9e04f4c32d8d6c77e7e6f714d9c88d9a246b6d b76141a4391b9c5ae2b6bd89314cbfe31ca335b2 a13cbb3da4019d38f8426b323be5ff8a198d5f4d 548560e9e76273fa6df17415e9b29bfd0361e61b,14522ab6838f2f5a85fc8a0b5382bfb2946b128e 55729bdc8e55bad87c933c948710f67cdef23f95 a9382ae930bc0911f4af42519fc6e1b20f365e9b f24dad588b20a2bb863ffd7ee32f7e2e5ff5e265 007dbc370cb19ae9a2d47b124aa80eca91284ff3 af1688425d6128425430570ad4197187894d372f cb5f19bd1c9eced66c3ab1a02ff18ff951c2d15e 45fa6fa3e53132e33cf5dacdcc3bbc13b195fdf3,False,False,False,False,False
1255318,63b8d34e13af04cdab0c70cbb07b1f0be6a316fe,f09a91c43901aeec31b90db41ff8ed6be14df19a,636905,b34c3a94663d58476cf19495695cf4f36682019b 4df0d1a777ea103a3063a5da29c4d06207c6b57e c6f468caa96ae0abaa6b935d8ce82307154addf9 ef432f51a5912a0089ba0233fed6ad420eccf7fe f686be0d161e8b604d757b799f5e06640cee2ccb,f1ce79f392ec8ac2b6f9320ef9e4d8527cf38887 52b00cb010525eb30a40eef17151979aa359bba6 32e692fbb7d5b7ca44cd7aea288b54148ec36326 c825c233e71ed3dc2fcb15f2e656275be6e9e02d 599b3c9bb190bd1114cf92ea8762f29cde76b7f3,False,False,False,False,False
1280561,5da4eefdbb12ef7d35d5dba6c5c22aa4b3567689,f6ebd81cee4ac475955f85b8cd04fb2315b28f5c,1420363,1603f5abc56e6c2483e46ce577f6450e4c58733b 995ac9a0ab02933978a7b8a49bd985214d28d703,3b24ce0f124da6a88ecaefa1e6293ff58cca9bfc 21d256121f0d765ec00a89cd17ad6bb9401a7d7a,False,False,False,False,False
